"CO1003","Program Design","Mon",16:00,17:00,"SUR",,"Weeks 12-20","Weeks 3-11","van Stee R Dr","ATT LT1"
"CO1003","Program Design","Mon",17:00,18:00,"HLP SESS",,"Weeks 12-15,17-20","Weeks 3-6,8-11","van Stee R Dr","ATT LT1"
"CO1003","Program Design","Mon",16:00,18:00,"TST","TST","Week 16","Week 7","van Stee R Dr","BEN LT1"
"CO1003","Program Design","Tue",09:00,10:00,"LEC",,"Weeks 11-20","Weeks 2-11","van Stee R Dr","ATT LT1"
"CO1003","Program Design","Tue",14:00,15:00,"LEC",,"Weeks 11-20","Weeks 2-11","van Stee R Dr","ATT LT1"
"CO1003","Program Design","Wed",09:00,11:00,"CMP CLS","CC1","Weeks 11-20","Weeks 2-11","van Stee R Dr","CW 301"
"CO1003","Program Design","Thu",11:00,13:00,"CMP CLS","CC2","Weeks 11-20","Weeks 2-11","van Stee R Dr","CW 301"
"CO1003","Program Design","Fri",11:00,12:00,"LEC",,"Weeks 10-20","Weeks 1-11","van Stee R Dr","ATT LT1"
,,,,,,,,,,
"CO1008","Requirements Engineering and Professional Practice","Thu",13:00,14:00,"LEC",,"Weeks 11,13,18-19","Weeks 2,4,9-10","Craggs R Dr","BEN LT2"
"CO1008","Requirements Engineering and Professional Practice","Thu",13:00,14:00,"LEC",,"Weeks 12,14-17,20","Weeks 3,5-8,11","Chitchyan R Dr","BEN LT2"
"CO1008","Requirements Engineering and Professional Practice","Thu",16:00,18:00,"SUR ",,"Weeks 11-20","Weeks 2-11","Craggs R Dr/Chitchyan R Dr","BEN LT2"
"CO1008","Requirements Engineering and Professional Practice","Fri",15:00,16:00,"PRB CLS",,"Weeks 11-15,17-18","Weeks 2-6,8-9","Craggs R Dr","RAT LT"
"CO1008","Requirements Engineering and Professional Practice","Fri",15:00,16:00,"PRB CLS","TST","Weeks 16,20","Weeks 7,11","Craggs R Dr","CW 301,KE101"
,,,,,,,,,,
"CO1012","Discrete Structures","Mon",14:00,16:00,"LEC",,"Weeks 11-19","Weeks 2-10","Thomas R M Professor","ENG LT2"
"CO1012","Discrete Structures","Tue",11:00,13:00,"SUR","SUR","Weeks 11-19","Weeks 2-10","Thomas R M Professor","BEN LT1"
"CO1012","Discrete Structures","Thu",11:00,12:00,"LEC",,"Week 10","Week 1","Thomas R M Professor","BEN LT2"
"CO1012","Discrete Structures   ","Fri",09:00,10:00,"PRB CLS","PRB CLS","Weeks 11-20","Weeks 2-11","Thomas R M Professor","RAT LT"
